Datetime,H1,H2,H3,H4,H5,H6,H7,H8,H10,H11,H12,H13,H14,H15,H16,H17,H18,H20
2014-10-01 00:00:00,0.195,0.259,0.197,0.123,0.431,0.22,0.211,0.175,0.413,0.047,0.933,0.074,0.195,0.431,0.327,0.781,0.178,0.128
2014-10-01 00:15:00,0.272,0.249,0.181,0.171,0.545,0.041,0.357,0.062,0.417,0.154,0.817,0.279,0.272,0.545,0.347,0.347,0.209,0.144
2014-10-01 00:30:00,0.36,0.16,0.049,0.227,0.832,0.041,0.161,0.228,0.308,0.102,0.834,0.148,0.36,0.832,0.178,0.249,0.582,0.225
2014-10-01 00:45:00,0.13,0.173,0.049,0.082,0.59,0.126,0.057,0.192,0.302,0.179,0.692,0.074,0.13,0.59,0.178,0.282,0.216,0.12
2014-10-01 01:00:00,0.056,0.041,0.153,0.035,0.441,0.119,0.057,0.062,0.342,0.188,0.422,0.074,0.056,0.441,0.166,0.462,0.083,0.044
2014-10-01 01:15:00,0.245,0.042,0.2,0.154,0.274,0.041,0.157,0.062,0.323,0.191,0.132,0.127,0.245,0.274,0.234,0.094,0.16,0.044
2014-10-01 01:30:00,0.194,0.183,0.049,0.122,0.313,0.041,0.118,0.22,0.405,0.351,0.488,0.312,0.194,0.313,0.089,0.094,0.537,0.232
2014-10-01 01:45:00,0.054,0.137,0.101,0.034,0.311,0.084,0.057,0.216,0.274,0.167,0.457,0.074,0.054,0.311,0.058,0.333,0.302,0.067
2014-10-01 02:00:00,0.054,0.041,0.176,0.034,0.152,0.156,0.057,0.062,0.378,0.045,0.396,0.074,0.054,0.152,0.058,0.522,0.083,0.044
2014-10-01 02:15:00,0.214,0.041,0.114,0.135,0.109,0.041,0.078,0.062,0.276,0.045,0.161,0.074,0.214,0.109,0.252,0.135,0.083,0.123
2014-10-01 02:30:00,0.212,0.145,0.049,0.133,0.147,0.041,0.196,0.139,0.367,0.106,0.589,0.215,0.212,0.147,0.179,0.094,0.39,0.147
2014-10-01 02:45:00,0.054,0.177,0.11,0.034,0.429,0.041,0.057,0.443,0.359,0.15,0.391,0.226,0.054,0.429,0.058,0.166,0.524,0.073
2014-10-01 03:00:00,0.054,0.049,0.118,0.034,0.264,0.153,0.057,0.203,0.157,0.045,0.231,0.074,0.054,0.264,0.058,0.525,0.093,0.044
2014-10-01 03:15:00,0.187,0.041,0.169,0.118,0.064,0.094,0.057,0.206,0.105,0.045,0.468,0.22,0.187,0.064,0.115,0.304,0.083,0.224
2014-10-01 03:30:00,0.233,0.093,0.049,0.147,0.064,0.041,0.146,0.21,0.063,0.078,0.602,0.254,0.233,0.064,0.321,0.094,0.177,0.096
2014-10-01 03:45:00,0.058,0.173,0.101,0.037,0.285,0.041,0.132,0.488,0.206,0.17,0.125,0.331,0.058,0.285,0.058,0.115,0.643,0.044
2014-10-01 04:00:00,0.054,0.105,0.092,0.034,0.467,0.041,0.057,0.244,0.085,0.045,0.125,0.133,0.054,0.467,0.058,0.349,0.187,0.044
2014-10-01 04:15:00,0.178,0.041,0.185,0.112,0.077,0.2,0.057,0.197,0.163,0.045,0.521,0.074,0.178,0.077,0.058,0.511,0.083,0.203
2014-10-01 04:30:00,0.175,0.16,0.068,0.11,0.067,0.161,0.104,0.212,0.062,0.045,0.72,0.074,0.175,0.067,0.268,0.094,0.116,0.107
2014-10-01 04:45:00,0.124,0.08,0.066,0.078,0.082,0.161,0.169,0.364,0.179,0.156,0.125,0.127,0.124,0.082,0.346,0.094,0.555,0.044
2014-10-01 05:00:00,0.054,0.137,0.18,0.034,0.553,0.095,0.057,0.29,0.192,0.092,0.125,0.313,0.054,0.553,0.121,0.248,0.338,0.044
2014-10-01 05:15:00,0.178,0.128,0.154,0.112,0.192,0.111,0.057,0.062,0.271,0.045,0.434,0.075,0.178,0.192,0.058,0.468,0.083,0.165
2014-10-01 05:30:00,0.083,0.097,0.049,0.052,0.105,0.267,0.057,0.062,0.152,0.045,1.044,0.074,0.083,0.105,0.058,0.421,0.083,0.145
2014-10-01 05:45:00,0.237,0.041,0.066,0.15,0.184,0.161,0.173,0.062,0.103,0.087,0.451,0.074,0.237,0.184,0.473,0.262,0.424,0.123
2014-10-01 06:00:00,0.174,0.088,0.271,0.109,0.494,0.161,0.107,0.374,0.18,0.162,0.365,0.349,0.174,0.494,0.193,0.301,0.462,0.135
2014-10-01 06:15:00,0.292,0.199,0.049,0.184,0.447,0.161,0.057,0.211,0.109,0.159,0.497,0.076,0.292,0.447,0.178,0.567,0.391,0.208
2014-10-01 06:30:00,0.181,0.093,0.049,0.114,0.251,0.275,0.057,0.182,0.116,0.309,1.131,0.074,0.181,0.251,0.178,0.615,0.415,0.24
2014-10-01 06:45:00,0.282,0.041,0.084,0.178,0.184,0.128,0.06,0.182,0.062,0.247,0.463,0.088,0.282,0.184,1.379,0.525,0.514,0.15
2014-10-01 07:00:00,0.258,0.041,0.231,0.162,0.313,0.051,0.217,0.35,0.293,0.315,0.366,0.399,0.258,0.313,0.228,0.846,0.542,0.128
2014-10-01 07:15:00,0.238,0.217,0.081,0.15,0.593,0.051,0.061,0.335,0.22,0.165,0.698,0.388,0.238,0.593,0.169,1.079,0.35,0.215
2014-10-01 07:30:00,0.234,0.123,0.082,0.147,0.191,0.129,0.057,0.068,0.265,0.15,0.747,0.447,0.234,0.191,0.058,1.187,0.291,0.168
2014-10-01 07:45:00,0.198,0.069,0.131,0.125,0.075,0.113,0.099,0.062,0.137,0.12,0.501,0.399,0.198,0.075,0.184,0.887,0.413,0.177
2014-10-01 08:00:00,0.236,0.086,0.26,0.149,0.114,0.041,0.167,0.096,0.175,0.234,0.264,0.197,0.236,0.114,0.258,0.741,0.279,0.054
2014-10-01 08:15:00,0.07,0.178,0.164,0.044,0.582,0.041,0.174,0.351,0.126,0.069,0.506,0.901,0.07,0.582,0.073,0.473,0.376,0.132
2014-10-01 08:30:00,0.177,0.176,0.127,0.111,0.294,0.183,0.057,0.206,0.168,0.045,0.247,0.074,0.177,0.294,0.058,0.223,0.168,0.044
2014-10-01 08:45:00,0.054,0.041,0.193,0.034,0.066,0.416,0.057,0.301,0.063,0.106,0.568,0.079,0.054,0.066,0.074,0.441,0.313,0.147
2014-10-01 09:00:00,0.193,0.041,0.299,0.122,0.424,0.041,0.057,0.293,0.148,0.125,0.172,0.074,0.193,0.424,0.338,0.187,0.165,0.076
2014-10-01 09:15:00,0.109,0.113,0.331,0.069,1.706,0.041,0.172,0.398,0.151,0.045,0.457,0.311,0.109,1.706,0.087,0.359,0.226,0.106
2014-10-01 09:30:00,0.352,0.212,0.205,0.222,1.867,0.041,0.107,0.235,0.133,0.045,0.199,0.114,0.352,1.867,0.059,0.446,0.62,0.166
2014-10-01 09:45:00,0.305,0.08,0.133,0.192,0.468,0.135,0.057,0.061,0.095,0.062,0.482,0.074,0.305,0.468,0.058,0.684,2.29,1.05
2014-10-01 10:00:00,0.294,0.041,0.109,0.185,0.064,0.106,0.057,0.062,0.204,0.181,0.39,0.074,0.294,0.064,0.311,0.533,0.561,0.332
2014-10-01 10:15:00,0.462,0.072,0.172,0.291,0.147,0.041,0.146,0.061,0.062,0.045,0.44,0.819,0.462,0.147,0.119,0.345,0.356,0.051
2014-10-01 10:30:00,0.277,0.167,0.266,0.175,0.49,0.041,0.126,0.321,0.08,0.045,0.477,1.784,0.277,0.49,0.058,0.094,0.449,0.123
2014-10-01 10:45:00,0.16,0.15,1.386,0.1,0.178,0.104,0.057,0.135,0.149,0.045,0.139,1.354,0.16,0.178,0.058,0.277,0.276,0.044
2014-10-01 11:00:00,0.054,0.042,0.374,0.034,0.064,0.135,0.057,0.061,0.167,0.166,0.483,0.444,0.054,0.064,0.242,0.271,0.323,0.168
