Tasks,Arkadiy Strelnikov,Azhar Ahmed Mohammed,Benchmark - Solar,C3 Green Team,E.S. Mangalova,Gang-gang,Giuseppe C.,Humboldt State University Solar Falcons,Manuel Oviedo de la Fuente,Mohamed Abuella,Power Team (SAOR),RDSsol,San/Saini,T-morning,THU_EILAB#6,UT_Argonne,Xiaorong (Iris) Sun,Yao Zhang,Ying Chen,dmlab,pat1
Task1,,,0.03493,,,0.01273,0.01261,,,0.02803,,0.01497,0.01606,,,,,0.01717,0.02924,,0.03057
Task2,,,0.03038,,,0.00995,0.0109,,,0.0149,,0.01247,0.01413,,,0.01605,,0.01488,0.01634,0.01014,0.01934
Task3,,,0.03344,,,0.01156,0.01187,,,0.01373,,0.01395,0.01576,0.04526,,0.01363,,0.0141,0.01435,0.01112,0.01637
Task4,0.02885,,0.0331,0.01727,,0.01292,0.01307,0.01787,0.02058,0.01513,,0.01379,0.01944,0.01512,0.02097,0.01453,0.01583,0.01591,0.01562,0.01238,0.01507
Task5,0.0256,,0.03881,,0.01769,0.01621,0.01711,,0.02485,0.02008,,0.01874,0.02305,0.01863,0.01838,0.01984,0.0207,0.01722,0.01942,0.01646,0.02184
Task6,,,0.03591,,0.01601,0.01169,0.01778,0.01684,0.01974,0.01484,,0.0165,0.01764,0.01401,0.01458,0.01551,,0.01492,0.01457,0.01231,0.01737
Task7,0.03546,0.01887,0.03606,0.01283,0.0143,0.01118,0.01291,0.01601,0.01744,0.01529,0.02359,0.02046,0.01736,0.01419,0.01469,0.01441,0.02853,0.01361,0.01632,0.01158,0.01884
Task8,0.0352,0.0193,0.04788,0.01293,0.0171,0.01247,0.01308,0.02331,0.01891,0.01727,0.02092,0.02242,0.01804,0.01522,0.01577,0.0176,0.01783,0.01427,,0.01254,0.02463
Task9,0.04167,0.01513,0.03569,0.01307,0.01669,0.01242,0.01335,0.02003,0.01737,0.0163,0.01888,0.02312,0.01745,0.01468,,0.0154,0.0168,0.01413,0.01667,0.01231,0.01775
Task10,0.03224,0.01508,0.04212,0.01323,0.01498,0.01236,0.01335,0.07262,0.02073,0.02746,,0.02077,0.01782,0.01484,0.01571,0.0141,0.01879,0.01556,0.01622,0.01245,0.01767
Task11,0.03198,0.01533,0.03991,0.01186,,0.01204,0.0116,0.0214,0.03912,0.01655,0.02917,0.01373,0.01717,0.01389,0.01422,0.01196,,0.01482,0.0157,0.01169,0.01567
Task12,0.03026,0.01637,0.04351,0.01374,0.01976,0.01262,0.0143,0.0244,0.02089,0.01641,0.01942,0.01481,0.01811,0.01507,0.01508,0.01287,0.01977,0.01447,0.01666,0.01306,0.01589
Task13,0.02865,0.01424,0.03765,0.01166,0.01679,0.01101,0.01146,0.02266,0.01789,0.01455,0.01856,0.01223,0.01528,0.01274,0.01258,0.0125,0.01725,0.0127,0.01401,0.01087,0.01597
Task14,0.02231,0.01062,0.03197,0.00856,0.01116,0.00823,0.00909,,0.0138,0.01044,,0.00982,0.01187,0.00934,0.00976,0.00819,0.01081,0.01017,0.01081,0.00843,0.01485
Task15,0.03715,0.01447,0.02849,0.0127,0.01529,0.01243,0.013,0.0201,0.01898,0.01441,0.01842,0.01369,0.01737,0.01372,0.01322,0.01308,,0.01375,0.01425,0.01288,0.01888
